date,department,admissions,billed_amount,avg_wait_min,staff_on_duty,weekend
2024-01-01,ER,51,"$27,083.68",54.8,12,No
2024-01-01,Cardiology,14,"$7,881.76",56.6,3,No
2024-01-01,Pediatrics,28,"$17,181.79",60.4,6,No
2024-01-01,Orthopedics,29,"$10,492.37",89.3,4,No
2024-01-02,ER,52,"$26,384.76",56.4,12,No
2024-01-02,Cardiology,19,"$11,428.95",63.1,4,No
2024-01-02,Pediatrics,32,"$9,464.62",66.7,6,No
2024-01-02,Orthopedics,23,"$14,450.98",79.7,4,No
2024-01-03,ER,53,"$18,455.11",66.7,10,No
2024-01-03,Cardiology,18,"$9,380.39",49.9,4,No
2024-01-03,Pediatrics,39,"$22,218.89",55.2,8,No
2024-01-03,Orthopedics,21,"$6,936.53",67.4,4,No
2024-01-04,ER,60,"$31,160.78",56.8,13,No
2024-01-04,Cardiology,22,"$10,664.43",85.6,3,No
2024-01-04,Pediatrics,46,"$20,681.35",87.7,6,No
2024-01-04,Orthopedics,17,"$8,147.91",68.8,3,No
2024-01-05,ER,66,"$28,856.41",59.2,13,No
2024-01-05,Cardiology,23,"$8,377.02",N/A,6,No
2024-01-05,Pediatrics,38,"$19,695.02",91.9,5,No
2024-01-05,Orthopedics,21,"$8,952.28",N/A,3,No
2024-01-06,ER,62,"$19,369.87",60.2,12,Yes
2024-01-06,Cardiology,36,"$16,573.54",141.7,3,Yes
2024-01-06,Pediatrics,46,"$19,189.71",82.2,7,Yes
2024-01-06,Orthopedics,27,"$8,411.96",99.6,3,Yes
2024-01-07,ER,60,"$31,913.67",82.0,9,Yes
2024-01-07,Cardiology,43,"$23,137.46",N/A,4,Yes
2024-01-07,Pediatrics,41,"$24,802.41",93.6,5,Yes
2024-01-07,Orthopedics,14,"$6,839.27",35.8,5,Yes
2024-01-08,ER,48,"$25,872.32",58.0,10,No
2024-01-08,Cardiology,25,"$12,848.62",68.0,5,No
2024-01-08,Pediatrics,36,"$16,482.12",109.1,4,No
2024-01-08,Orthopedics,22,"$10,814.15",60.1,5,No
2024-01-09,ER,52,"$21,053.40",60.5,10,No
2024-01-09,Cardiology,23,"$10,433.47",38.6,6,No
2024-01-09,Pediatrics,41,"$18,722.84",80.3,7,No
2024-01-09,Orthopedics,12,"$4,513.33",25.3,4,No
2024-01-10,ER,56,"$16,115.70",64.1,10,No
2024-01-10,Cardiology,26,"$12,465.78",43.8,7,No
2024-01-10,Pediatrics,31,"$16,793.26",123.7,3,No
2024-01-10,Orthopedics,27,"$9,797.68",78.5,4,No
2024-01-11,ER,54,"$31,251.11",75.4,10,No
2024-01-11,Cardiology,17,"$6,540.42",N/A,6,No
2024-01-11,Pediatrics,34,"$11,534.80",64.7,6,No
2024-01-11,Orthopedics,10,"$6,010.04",33.6,3,No
2024-01-12,ER,61,"$28,474.13",48.2,15,No
2024-01-12,Cardiology,26,"$10,777.44",42.5,7,No
2024-01-12,Pediatrics,47,"$29,010.88",81.5,7,No
2024-01-12,Orthopedics,33,"$11,061.02",140.6,3,No
2024-01-13,ER,79,"$30,945.61",80.6,11,Yes
2024-01-13,Cardiology,29,"$9,622.29",58.0,6,Yes
2024-01-13,Pediatrics,54,"$28,293.68",93.0,7,Yes
2024-01-13,Orthopedics,27,"$13,208.45",103.8,3,Yes
2024-01-14,ER,65,"$35,492.23",82.6,10,Yes
2024-01-14,Cardiology,29,"$13,220.82",68.0,5,Yes
2024-01-14,Pediatrics,53,"$32,485.34",78.7,8,Yes
